2024-12-19,12:05:38,dataset,m,n,h,T,k_s,k_e,k_b,algorithm,pruning_rate,num_corr_pairs,runtime [s],window shift time [ns],SVD time [ns],bucketing filter time [ns],Euclidean distance filter time [ns],Pearson correlation computation time [ns]
2024-12-19,12:05:41,chlorine,50,512,64,0.84,16,32,2,corr_join,0.738,26644,0.689, 8217679, 90028, 348407, 136268, 1323911
2024-12-19,12:05:41,chlorine,50,512,64,0.84,16,32,2,brute_force_euc_dist,0,50035,0.237, 667464, 0, 0, 0, 2803795
2024-12-19,12:05:41,chlorine,50,512,64,0.865,16,32,2,corr_join,0.738,23055,0.183, 848832, 88936, 341025, 104838, 1302482
2024-12-19,12:05:42,chlorine,50,512,64,0.865,16,32,2,brute_force_euc_dist,0,43398,0.233, 626809, 0, 0, 0, 2784863
2024-12-19,12:05:42,chlorine,50,512,64,0.89,16,32,2,corr_join,0.738,19007,0.183, 844633, 87982, 339391, 108573, 1302498
2024-12-19,12:05:42,chlorine,50,512,64,0.89,16,32,2,brute_force_euc_dist,0,35851,0.237, 644471, 0, 0, 0, 2834834
2024-12-19,12:05:42,chlorine,50,512,64,0.915,16,32,2,corr_join,0.75,13126,0.184, 857100, 88496, 384489, 104827, 1262354
2024-12-19,12:05:42,chlorine,50,512,64,0.915,16,32,2,brute_force_euc_dist,0,25869,0.229, 623170, 0, 0, 0, 2739618
2024-12-19,12:05:43,chlorine,50,512,64,0.94,16,32,2,corr_join,0.768,3625,0.183, 844088, 87050, 502175, 96631, 1153882
2024-12-19,12:05:43,chlorine,50,512,64,0.94,16,32,2,brute_force_euc_dist,0,9399,0.229, 626669, 0, 0, 0, 2733980
2024-12-19,12:05:43,chlorine,50,512,64,0.965,16,32,2,corr_join,0.801,60,0.172, 833550, 86108, 495192, 89256, 1013849
2024-12-19,12:05:43,chlorine,50,512,64,0.965,16,32,2,brute_force_euc_dist,0,1018,0.227, 616089, 0, 0, 0, 2716866
2024-12-19,12:05:43,chlorine,50,512,64,0.99,16,32,2,corr_join,0.901,0,0.138, 807467, 83660, 566920, 60967, 497283
2024-12-19,12:05:44,chlorine,50,512,64,0.99,16,32,2,brute_force_euc_dist,0,0,0.226, 615922, 0, 0, 0, 2700507
2024-12-19,12:05:47,gas,50,512,64,0.84,16,32,2,corr_join,0.779,20148,0.205, 928329, 80769, 376957, 83768, 1328075
2024-12-19,12:05:47,gas,50,512,64,0.84,16,32,2,brute_force_euc_dist,0,43800,0.252, 648587, 0, 0, 0, 2789598
2024-12-19,12:05:47,gas,50,512,64,0.865,16,32,2,corr_join,0.779,20148,0.198, 839096, 76364, 364568, 78699, 1344575
2024-12-19,12:05:47,gas,50,512,64,0.865,16,32,2,brute_force_euc_dist,0,43800,0.264, 685706, 0, 0, 0, 2914815
2024-12-19,12:05:48,gas,50,512,64,0.89,16,32,2,corr_join,0.779,20148,0.224, 995897, 96112, 418872, 90482, 1449647
2024-12-19,12:05:48,gas,50,512,64,0.89,16,32,2,brute_force_euc_dist,0,43143,0.272, 707203, 0, 0, 0, 3006525
2024-12-19,12:05:48,gas,50,512,64,0.915,16,32,2,corr_join,0.779,20148,0.202, 848750, 76527, 366670, 86539, 1370915
2024-12-19,12:05:48,gas,50,512,64,0.915,16,32,2,brute_force_euc_dist,0,42267,0.307, 779424, 0, 0, 0, 3420293
2024-12-19,12:05:49,gas,50,512,64,0.94,16,32,2,corr_join,0.79,20148,0.179, 828791, 76449, 370998, 86897, 1078546
2024-12-19,12:05:49,gas,50,512,64,0.94,16,32,2,brute_force_euc_dist,0,42121,0.254, 648745, 0, 0, 0, 2809612
2024-12-19,12:05:49,gas,50,512,64,0.965,16,32,2,corr_join,0.89,18542,0.131, 799160, 74461, 362100, 81079, 467525
2024-12-19,12:05:49,gas,50,512,64,0.965,16,32,2,brute_force_euc_dist,0,40442,0.246, 633151, 0, 0, 0, 2730344
2024-12-19,12:05:49,gas,50,512,64,0.99,16,32,2,corr_join,0.89,13724,0.129, 787102, 74167, 350078, 78521, 468882
2024-12-19,12:05:50,gas,50,512,64,0.99,16,32,2,brute_force_euc_dist,0,33872,0.249, 641701, 0, 0, 0, 2750957
2024-12-19,12:05:53,synthetic,50,512,64,0.84,16,32,2,corr_join,0.764,11498,0.207, 1027232, 94939, 382372, 98569, 1301537
2024-12-19,12:05:54,synthetic,50,512,64,0.84,16,32,2,brute_force_euc_dist,0,24516,0.282, 780619, 0, 0, 0, 3173106
2024-12-19,12:05:54,synthetic,50,512,64,0.865,16,32,2,corr_join,0.764,9707,0.208, 999981, 102178, 403047, 101842, 1303816
2024-12-19,12:05:54,synthetic,50,512,64,0.865,16,32,2,brute_force_euc_dist,0,20718,0.271, 722531, 0, 0, 0, 3074119
2024-12-19,12:05:54,synthetic,50,512,64,0.89,16,32,2,corr_join,0.764,7867,0.189, 889362, 86923, 363307, 87052, 1226869
2024-12-19,12:05:55,synthetic,50,512,64,0.89,16,32,2,brute_force_euc_dist,0,16805,0.337, 1016030, 0, 0, 0, 3711786
2024-12-19,12:05:55,synthetic,50,512,64,0.915,16,32,2,corr_join,0.764,5964,0.192, 909155, 89491, 377341, 92190, 1220605
2024-12-19,12:05:55,synthetic,50,512,64,0.915,16,32,2,brute_force_euc_dist,0,12798,0.245, 647173, 0, 0, 0, 2795837
2024-12-19,12:05:55,synthetic,50,512,64,0.94,16,32,2,corr_join,0.765,4033,0.191, 890371, 88736, 370150, 87366, 1239964
2024-12-19,12:05:56,synthetic,50,512,64,0.94,16,32,2,brute_force_euc_dist,0,8691,0.238, 629616, 0, 0, 0, 2709451
2024-12-19,12:05:56,synthetic,50,512,64,0.965,16,32,2,corr_join,0.8,2068,0.168, 837336, 83562, 358693, 89228, 989027
2024-12-19,12:05:56,synthetic,50,512,64,0.965,16,32,2,brute_force_euc_dist,0,4465,0.24, 607653, 0, 0, 0, 2759276
2024-12-19,12:05:56,synthetic,50,512,64,0.99,16,32,2,corr_join,0.958,22,0.12, 770633, 78768, 585373, 41950, 202086
2024-12-19,12:05:56,synthetic,50,512,64,0.99,16,32,2,brute_force_euc_dist,0,84,0.243, 663007, 0, 0, 0, 2746981
2024-12-19,12:05:58,chlorine,50,60,30,0.9,15,30,2,corr_join,0.895,17785,0.173, 358459, 77285, 477652, 73987, 90118
2024-12-19,12:05:58,chlorine,50,60,30,0.9,15,30,2,brute_force_euc_dist,0,49776,0.124, 120142, 0, 0, 0, 649872
2024-12-19,12:05:59,chlorine,50,510,30,0.9,15,30,2,corr_join,0.732,36713,0.448, 963766, 95199, 359854, 100360, 1564223
2024-12-19,12:05:59,chlorine,50,510,30,0.9,15,30,2,brute_force_euc_dist,0,68706,0.505, 626341, 0, 0, 0, 2851463
2024-12-19,12:06:00,chlorine,50,990,30,0.9,15,30,2,corr_join,0.71,33715,0.674, 1486140, 93983, 354904, 100216, 3181936
2024-12-19,12:06:01,chlorine,50,990,30,0.9,15,30,2,brute_force_euc_dist,0,60992,0.893, 1145105, 0, 0, 0, 5766736
2024-12-19,12:06:02,chlorine,50,1500,30,0.9,15,30,2,corr_join,0.749,26661,0.784, 2041499, 97210, 363535, 86939, 4400921
2024-12-19,12:06:03,chlorine,50,1500,30,0.9,15,30,2,brute_force_euc_dist,0,52915,1.124, 1753593, 0, 0, 0, 8272151
2024-12-19,12:06:06,gas,50,60,30,0.9,15,30,2,corr_join,0.88,48710,0.164, 366250, 68203, 332920, 103791, 89883
2024-12-19,12:06:06,gas,50,60,30,0.9,15,30,2,brute_force_euc_dist,0,99242,0.136, 123625, 0, 0, 0, 676813
2024-12-19,12:06:07,gas,50,510,30,0.9,15,30,2,corr_join,0.804,36542,0.394, 895703, 81255, 391572, 70318, 1114518
2024-12-19,12:06:07,gas,50,510,30,0.9,15,30,2,brute_force_euc_dist,0,90366,0.546, 647813, 0, 0, 0, 2890932
2024-12-19,12:06:08,gas,50,990,30,0.9,15,30,2,corr_join,0.8,32998,0.539, 1375681, 75284, 396130, 64593, 1983799
2024-12-19,12:06:09,gas,50,990,30,0.9,15,30,2,brute_force_euc_dist,0,80857,0.941, 1113539, 0, 0, 0, 5697065
2024-12-19,12:06:09,gas,50,1500,30,0.9,15,30,2,corr_join,0.767,34608,0.768, 2065857, 88143, 396387, 74127, 3711905
2024-12-19,12:06:11,gas,50,1500,30,0.9,15,30,2,brute_force_euc_dist,0,70951,1.236, 1606909, 0, 0, 0, 8599340
2024-12-19,12:06:14,synthetic,50,60,30,0.9,15,30,2,corr_join,0.947,10258,0.179, 351733, 73407, 535139, 60362, 54889
2024-12-19,12:06:14,synthetic,50,60,30,0.9,15,30,2,brute_force_euc_dist,0,36815,0.129, 116337, 0, 0, 0, 657100
2024-12-19,12:06:15,synthetic,50,510,30,0.9,15,30,2,corr_join,0.756,14717,0.426, 940439, 85484, 364149, 95355, 1340212
2024-12-19,12:06:15,synthetic,50,510,30,0.9,15,30,2,brute_force_euc_dist,0,32011,0.602, 810368, 0, 0, 0, 3192473
2024-12-19,12:06:16,synthetic,50,990,30,0.9,15,30,2,corr_join,0.75,12544,0.631, 1491700, 91533, 372984, 88130, 2655926
2024-12-19,12:06:17,synthetic,50,990,30,0.9,15,30,2,brute_force_euc_dist,0,28539,0.974, 1231787, 0, 0, 0, 6025817
2024-12-19,12:06:18,synthetic,50,1500,30,0.9,15,30,2,corr_join,0.722,10778,0.949, 2228644, 109934, 393600, 98596, 5271633
2024-12-19,12:06:19,synthetic,50,1500,30,0.9,15,30,2,brute_force_euc_dist,0,24988,1.076, 1673142, 0, 0, 0, 7508447
2024-12-19,12:06:21,chlorine,50,1200,100,0.85,15,30,3,corr_join,0.872,6741,0.158, 1675475, 96534, 754638, 47832, 1662152
2024-12-19,12:06:21,chlorine,50,1200,100,0.85,15,30,3,brute_force_euc_dist,0,25781,0.302, 1322438, 0, 0, 0, 6806575
2024-12-19,12:06:21,chlorine,50,1200,200,0.85,15,30,3,corr_join,0.874,3466,0.088, 1827699, 105989, 808129, 84132, 1750239
2024-12-19,12:06:22,chlorine,50,1200,200,0.85,15,30,3,brute_force_euc_dist,0,13231,0.172, 1444476, 0, 0, 0, 7556261
2024-12-19,12:06:22,chlorine,50,1200,300,0.85,15,30,3,corr_join,0.877,2228,0.062, 1897010, 117869, 796349, 48686, 1826779
2024-12-19,12:06:22,chlorine,50,1200,300,0.85,15,30,3,brute_force_euc_dist,0,9111,0.115, 1451926, 0, 0, 0, 7308468
2024-12-19,12:06:22,chlorine,50,1200,400,0.85,15,30,3,corr_join,0.868,1929,0.046, 1704525, 104596, 770954, 47854, 1828829
2024-12-19,12:06:22,chlorine,50,1200,400,0.85,15,30,3,brute_force_euc_dist,0,6972,0.089, 1334904, 0, 0, 0, 7443929
2024-12-19,12:06:22,chlorine,50,1200,500,0.85,15,30,3,corr_join,0.864,1574,0.04, 1785474, 117932, 838687, 111234, 1941787
2024-12-19,12:06:22,chlorine,50,1200,500,0.85,15,30,3,brute_force_euc_dist,0,5570,0.073, 1408172, 0, 0, 0, 7509448
2024-12-19,12:06:26,synthetic,4,300,10,0.85,15,30,3,corr_join,0.929,229,0.185, 240428, 24411, 99745, 12146, 11792
2024-12-19,12:06:26,synthetic,4,300,10,0.85,15,30,3,brute_force_euc_dist,0,439,0.055, 93981, 0, 0, 0, 20307
2024-12-19,12:06:30,synthetic,8,300,10,0.85,15,30,3,corr_join,0.84,800,0.341, 272605, 35121, 376830, 12856, 23286
2024-12-19,12:06:30,synthetic,8,300,10,0.85,15,30,3,brute_force_euc_dist,0,2846,0.083, 113392, 0, 0, 0, 60166
2024-12-19,12:06:34,synthetic,16,300,10,0.85,15,30,3,corr_join,0.894,4178,0.471, 371480, 56570, 514467, 15139, 39327
2024-12-19,12:06:34,synthetic,16,300,10,0.85,15,30,3,brute_force_euc_dist,0,13986,0.162, 152235, 0, 0, 0, 189000
2024-12-19,12:06:39,synthetic,32,300,10,0.85,15,30,3,corr_join,0.873,14371,0.618, 450437, 68988, 598297, 25650, 164201
2024-12-19,12:06:39,synthetic,32,300,10,0.85,15,30,3,brute_force_euc_dist,0,61385,0.427, 241323, 0, 0, 0, 662840
2024-12-19,12:06:44,synthetic,64,300,10,0.85,15,30,3,corr_join,0.873,59476,1.112, 684224, 80570, 805155, 76332, 710314
2024-12-19,12:06:45,synthetic,64,300,10,0.85,15,30,3,brute_force_euc_dist,0,254307,1.837, 543733, 0, 0, 0, 3352141
